,date,open,high,low,close,volume
116,2021-04-05,58202.01,59272.0,56777.77,59129.99,54258.01579000
117,2021-04-04,57051.95,58492.85,56388.0,58202.01,41314.08197300
118,2021-04-03,58950.01,59791.72,56880.0,57051.94,47409.85211300
119,2021-04-02,58720.45,60200.0,58428.57,58950.01,47382.41878100
120,2021-04-01,58739.46,59490.0,57935.45,58720.44,47415.61722000
121,2021-03-31,58746.57,59800.0,56769.0,58740.55,60975.54266600
122,2021-03-30,57635.46,59368.0,57071.35,58746.57,55122.44312200
123,2021-03-29,55777.65,58405.82,54800.01,57635.47,67857.93739800
124,2021-03-28,55817.14,56559.75,54691.84,55777.63,39050.38751100
125,2021-03-27,55025.59,56700.36,53950.0,55817.14,50105.47505500
126,2021-03-26,51293.78,55073.46,51214.6,55025.59,63813.77469200
127,2021-03-25,52303.66,53287.0,50427.56,51293.78,87400.53453800
128,2021-03-24,54342.8,57200.0,51700.0,52303.65,83537.46502100
129,2021-03-23,54083.25,55830.9,53000.0,54340.89,59789.36542700
130,2021-03-22,57351.56,58430.73,53650.0,54083.25,62581.62616900
131,2021-03-21,58100.02,58589.1,55450.11,57351.56,48564.47027400
132,2021-03-20,58030.01,59880.0,57820.17,58102.28,44476.94177600
133,2021-03-19,57641.0,59468.0,56270.74,58030.01,52392.65296100
134,2021-03-18,58912.97,60129.97,57023.0,57648.16,66580.40667500
135,2021-03-17,56900.74,58974.73,54123.69,58912.97,70421.62084100
136,2021-03-16,55605.2,56938.29,53271.34,56900.75,77986.69435500
137,2021-03-15,58976.08,60633.43,54600.0,55605.2,102771.42729800
138,2021-03-14,61188.38,61724.79,58966.78,58968.31,52601.05275000
139,2021-03-13,57221.72,61844.0,56078.23,61188.39,83245.09134600
140,2021-03-12,57773.15,58081.51,54962.84,57221.72,73405.40604700
141,2021-03-11,55851.59,58150.0,54272.82,57773.16,81914.81285900
142,2021-03-10,54874.67,57387.69,53005.0,55851.59,84749.23894300
143,2021-03-09,52375.18,54895.0,51789.41,54884.5,71656.73707600
144,2021-03-08,50959.11,52402.78,49274.67,52375.17,66987.35966400
145,2021-03-07,48882.2,51450.03,48882.2,50971.75,55235.02803200
146,2021-03-06,48746.81,49200.0,47070.0,48882.2,44399.23424200
147,2021-03-05,48374.09,49448.93,46300.0,48751.71,78192.49637200
148,2021-03-04,50349.37,51773.88,47500.0,48374.09,82649.71682900
149,2021-03-03,48436.61,52640.0,48100.71,50349.37,81035.91370500
150,2021-03-02,49595.76,50200.0,47047.6,48440.65,64221.06214000
151,2021-03-01,45134.11,49790.0,44950.53,49587.03,85086.11164800
152,2021-02-28,46103.67,46638.46,43000.0,45135.66,83055.36904200
153,2021-02-27,46276.88,48394.0,45000.0,46106.43,66060.83429200
154,2021-02-26,47073.73,48424.11,44106.78,46276.87,109423.20066300
155,2021-02-25,49676.21,52041.73,46674.34,47073.73,83310.67312100
156,2021-02-24,48891.0,51374.99,46988.69,49676.2,91881.20925200
157,2021-02-23,54087.67,54183.59,44892.56,48891.0,169375.02505100
158,2021-02-22,57412.35,57508.47,47622.0,54087.67,134019.43494400
159,2021-02-21,55841.19,58352.8,55477.59,57408.57,58166.70851100
160,2021-02-20,55906.0,57700.46,53863.93,55841.19,80948.20531400
161,2021-02-19,51552.61,56368.0,50710.2,55906.0,79659.77802000
162,2021-02-18,52117.67,52530.0,50901.9,51552.6,60758.04695400
163,2021-02-17,49133.45,52618.74,48947.0,52119.71,85743.63781800
164,2021-02-16,47911.1,50689.18,47003.62,49133.45,88813.26629800
165,2021-02-15,48580.47,49010.92,45570.79,47911.1,79398.15678400
166,2021-02-14,47156.78,49707.43,47014.17,48577.79,73735.47553300
167,2021-02-13,47298.15,48150.0,46202.53,47153.69,63768.09739900
168,2021-02-12,47968.66,48985.8,46125.0,47287.6,85870.03569700
169,2021-02-11,44807.58,48678.9,43994.02,47969.51,89561.08145400
170,2021-02-10,46420.42,47310.0,43727.0,44807.58,97154.18220000
171,2021-02-09,46374.86,48142.19,44961.09,46420.42,115499.86171200
172,2021-02-08,38795.69,46794.45,37988.89,46374.87,138597.53691400
173,2021-02-07,39181.01,39700.0,37351.0,38795.69,84363.67976300
174,2021-02-06,38289.32,40955.51,38215.94,39186.94,98757.31118300
175,2021-02-05,36936.65,38310.12,36570.0,38290.24,66681.33427500
176,2021-02-04,37620.26,38708.27,36161.95,36936.66,92080.73589800
177,2021-02-03,35472.71,37662.63,35362.38,37618.87,80784.33366300
178,2021-02-02,33517.09,35984.33,33418.0,35466.24,78056.65988000
179,2021-02-01,33092.97,34717.27,32296.16,33526.37,82718.27688200
180,2021-01-31,34262.89,34342.69,32171.67,33092.98,68742.28038400
181,2021-01-30,34246.28,34933.0,32825.0,34262.88,84889.68134000
182,2021-01-29,33368.18,38531.9,31915.4,34252.2,231827.00562600
183,2021-01-28,30362.19,33783.98,29842.1,33364.86,92621.14561700
184,2021-01-27,32464.01,32557.29,29241.72,30366.15,95911.96171100
185,2021-01-26,32254.19,32921.88,30837.37,32467.77,84972.20691000
186,2021-01-25,32259.45,34875.0,31910.0,32254.2,88499.22692100
187,2021-01-24,32078.0,33071.0,30900.0,32259.9,57978.03796600
188,2021-01-23,32950.0,33456.0,31390.16,32078.0,64595.28767500
189,2021-01-22,30851.99,33826.53,28850.0,32945.17,142971.68404900
190,2021-01-21,35468.23,35600.0,30071.0,30850.13,131803.18292600
191,2021-01-20,35901.94,36415.31,33400.0,35468.23,89368.42291800
192,2021-01-19,36622.46,37850.0,35844.06,35891.49,79611.30776900
193,2021-01-18,35824.99,37469.83,34800.0,36631.27,70698.11875000
194,2021-01-17,35994.98,36852.5,33850.0,35828.61,80157.72738400
195,2021-01-16,36737.43,37950.0,35357.8,35994.98,86348.43150800
196,2021-01-15,39145.21,39747.76,34408.0,36742.22,118300.92091600
197,2021-01-14,37371.38,40100.0,36701.23,39144.5,102950.38942100
198,2021-01-13,34049.15,37850.0,32380.0,37371.38,124477.91493800
199,2021-01-12,35410.37,36628.0,32531.0,34051.24,133948.15199600
200,2021-01-11,38150.02,38264.74,30420.0,35404.47,249131.53994300
201,2021-01-10,40088.22,41350.0,35111.11,38150.02,118209.54450300
202,2021-01-09,40586.96,41380.0,38720.0,40088.22,75785.97967500
203,2021-01-08,39432.48,41950.0,36500.0,40582.81,139789.95749900
204,2021-01-07,36769.36,40365.0,36300.0,39432.28,132825.70043700
205,2021-01-06,33949.53,36939.21,33288.0,36769.36,127139.20131000
206,2021-01-05,31989.75,34360.0,29900.0,33949.53,116049.99703800
207,2021-01-04,33000.05,33600.0,28130.0,31988.71,140899.88569000
208,2021-01-03,32176.45,34778.11,31962.99,33000.05,120957.56675000
209,2021-01-02,29331.7,33300.0,28946.53,32178.33,129993.87336200
210,2021-01-01,28923.63,29600.0,28624.57,29331.69,54182.92501100
211,2020-12-31,28875.55,29300.0,27850.0,28923.63,75508.50515200
212,2020-12-30,27385.0,28996.0,27320.0,28875.54,95356.05782600
213,2020-12-29,27079.42,27410.0,25880.0,27385.0,69411.59260600
214,2020-12-28,26281.54,27500.0,26101.0,27079.41,79721.74249600
215,2020-12-27,26493.4,28422.0,25700.0,26281.66,148455.58621400
216,2020-12-26,24712.47,26867.03,24500.0,26493.39,97806.51338600
217,2020-12-25,23728.99,24789.86,23433.6,24712.47,79519.94356900
218,2020-12-24,23232.39,23794.43,22703.42,23729.2,69013.83425200
219,2020-12-23,23810.79,24100.0,22600.0,23232.76,119047.25973300
220,2020-12-22,22719.88,23837.1,22353.4,23810.79,87033.12616000
221,2020-12-21,23455.54,24102.77,21815.0,22719.71,88030.29724300
222,2020-12-20,23821.6,24295.0,23060.0,23455.52,76690.14568500
223,2020-12-19,23107.39,24171.47,22750.0,23821.61,86045.06467700
224,2020-12-18,22797.15,23285.18,22350.0,23107.39,79646.13431500
